label,type,family,covars,n_tests,mean_mae_rate,sd_mae_rate,mean_rmse_rate,mean_mae_log,mean_cor_rate,mean_mae_count,sd_mae_count,mean_rmse_count,mean_cor_count,mean_zero_acc,skill_mae_rate,skill_rmse_rate,skill_mae_count,skill_rmse_count,rank_rate,rank_count
"Hurdle GLM (base, log(max_wind_speed) & log(sdi))",hurdle,glm,base,25,1.6004274781200494,0.8248404589580997,14.758670760091748,2.290606949457126,-0.1261387651470734,390.3075525510659,251.59052764542065,5299.37954980729,0.0038742825478974507,0.47057122198120027,0.70085154426086,0.01613427710891291,0.8418423381572788,0.33864729078892064,69.0,221.0
"Hurdle GLM (base, log(max_wind_speed))",hurdle,glm,base,25,1.5990156390526105,0.8251475114291551,14.757848551210138,2.2831338759165476,-0.11887281568584053,389.9624583278136,252.02906904941494,5299.02545281424,0.005639886249295672,0.4730296456977585,0.7011154421772297,0.016189088490562553,0.8419821747940752,0.33869148143491523,64.0,219.0
"Hurdle GLM (base, log(sdi))",hurdle,glm,base,25,1.6063034546521777,0.8273804585364296,14.756921999101518,2.2973280060571315,-0.10396351533583231,393.17367307975826,249.71926915028257,5300.641299037502,0.0036414137219540604,0.46493130874909616,0.6997532193885512,0.016250855764523786,0.8406809490977676,0.3384898268322625,86.0,242.0
"Hurdle GLM (base, no log)",hurdle,glm,base,25,1.6048382629962425,0.8276285811585522,14.756010167882001,2.2896647945684596,-0.09711555059381705,392.705127100379,250.15151589079477,5300.136341784848,0.005299553100488805,0.46767895878524945,0.7000270898558028,0.016311641691422518,0.840870809980756,0.3385528445580056,81.0,237.0
"Hurdle GLM (basin, log(max_wind_speed) & log(sdi))",hurdle,glm,basin,25,1.598230314196944,0.8250999637797218,14.756652407605031,2.272920557948346,-0.10328247335101752,384.27770691800333,254.84692553146007,5299.442254988632,0.00968815841544123,0.4723065798987708,0.7012622334070966,0.01626882769688065,0.8442857094944833,0.3386394652989415,59.0,201.0
"Hurdle GLM (basin, log(max_wind_speed))",hurdle,glm,basin,25,1.596898889050011,0.8254295238521603,14.755868364521426,2.266139870282656,-0.09700632460958421,383.0599479015101,255.42910200859757,5298.847104581092,0.010847928285592572,0.4723065798987708,0.7015111005267145,0.01632109481007582,0.8447791611775922,0.33871373896262524,50.0,193.0
"Hurdle GLM (basin, log(sdi))",hurdle,glm,basin,25,1.6042537725747865,0.8277326782038097,14.754683376066914,2.2804353282700127,-0.08261510609351512,387.6046844900235,252.77339632977623,5300.698024317476,0.008861250006364242,0.46623282718727405,0.7001363415459688,0.016400090374199983,0.8429375752081886,0.3384827476228496,77.0,209.0
"Hurdle GLM (basin, no log)",hurdle,glm,basin,25,1.6028655536012606,0.8280009247134815,14.753819804358534,2.2736763217016964,-0.07664549445549095,386.2911688779537,253.33125299916145,5299.97568903887,0.009927352648268321,0.46738973246565435,0.7003958244452788,0.016457659149663906,0.8434698287006999,0.3385728937218363,75.0,205.0
"Hurdle GLM (year, log(max_wind_speed) & log(sdi))",hurdle,glm,year,25,1.5978232831493704,0.8257666879232446,14.758288231249535,2.265057130331369,-0.1220086669732518,393.031808990228,250.93642989921295,5304.166190713736,0.002358472474458904,0.48199566160520607,0.7013383147734716,0.016159777848240187,0.8407384342592842,0.33804992690853697,54.0,241.0
"Hurdle GLM (year, log(max_wind_speed))",hurdle,glm,year,25,1.5957403259383007,0.8262360290161619,14.757029153763527,2.2537028058591075,-0.11311385077294393,393.0206354594733,251.53299800700188,5304.568897779996,0.004434314530490794,0.4834417932031815,0.7017276566471778,0.016243712451910364,0.8407429619182729,0.3379996698158365,42.0,240.0
"Hurdle GLM (year, log(sdi))",hurdle,glm,year,25,1.6071451813127173,0.8325275350473993,14.763303011157438,2.214305696226395,-0.05944950208120015,404.1792826489089,248.71975468041614,5331.95653333881,-4.365617118552394e-05,0.4903832248734635,0.6995958856548474,0.01582547470269058,0.8362213339424011,0.33458174384818884,89.0,266.0
"Hurdle GLM (year, no log)",hurdle,glm,year,25,1.6058290816839775,0.8338994043970837,14.762409402927336,2.203028708758085,-0.05533245553549848,403.4347104226855,249.09704904764666,5330.068688780864,0.0015749416335032944,0.4918293564714389,0.6998418881616268,0.015885045820007493,0.8365230442260039,0.33481734333700297,84.0,265.0
"Hurdle GLM (basin_year, log(max_wind_speed) & log(sdi))",hurdle,glm,basin_year,25,1.595993610880732,0.8262142153219738,14.756848167901085,2.2511238766028776,-0.10898458513430483,388.1721566579242,253.6998561470854,5303.231564551216,0.005497429434339387,0.4821402747650036,0.7016803131714964,0.016255777616130063,0.8427076281557951,0.3381665665149045,45.0,211.0
"Hurdle GLM (basin_year, log(max_wind_speed))",hurdle,glm,basin_year,25,1.5940897843382373,0.8269439905983665,14.755526207686861,2.2414807382669464,-0.10005693971069521,386.44236766826754,254.71617660127063,5302.678066253518,0.006903974007741219,0.48300795372378885,0.7020361723266089,0.0163439042071315,0.8434085609978508,0.3382356420727667,36.0,206.0
"Hurdle GLM (basin_year, log(sdi))",hurdle,glm,basin_year,25,1.606728731456004,0.8337995954352501,14.762796364651372,2.2034643199573933,-0.053353255241313464,400.2537504052569,251.28960869917873,5331.233041634942,0.0014953003098067766,0.4908170643528561,0.699673727564732,0.015859249568940026,0.8378120103130895,0.33467203426689685,88.0,259.0
"Hurdle GLM (basin_year, no log)",hurdle,glm,basin_year,25,1.6043479375931844,0.833895046533493,14.76151626916327,2.192824072828221,-0.05259476665594878,395.4635837548021,252.60350998768286,5326.348267282549,0.0028558025680341984,0.49052783803326105,0.7001187404236291,0.015944585307723247,0.8397530477137782,0.3352816450187739,79.0,246.0
"Hurdle GLM (island, log(max_wind_speed) & log(sdi))",hurdle,glm,island,25,1.6007459568090043,0.8248853903671879,14.758977057109226,2.292949029077572,-0.12894115659338845,391.30884405457465,251.59798709559112,5299.3948442474475,0.004755201697246943,0.471294287780188,0.7007920149105525,0.016113858255384805,0.8414366019065123,0.33864538207124173,71.0,232.0
"Hurdle GLM (island, log(max_wind_speed))",hurdle,glm,island,25,1.5992992702564321,0.8251211350395171,14.758093224748345,2.284939499744865,-0.12084473968233975,390.7572229606728,252.08901665431154,5299.091347727569,0.006311452283657825,0.474765003615329,0.7010624264437567,0.016172777678331918,0.8416601258989752,0.33868325787231823,66.0,227.0
"Hurdle GLM (island, log(sdi))",hurdle,glm,island,25,1.6066575673282124,0.8274506034929588,14.757322944314504,2.3001640720184677,-0.10723782717287089,394.4970681670006,249.63481741989128,5300.662839255544,0.004640266397903054,0.4671005061460593,0.69968702941016,0.016224127324122484,0.8401446923143044,0.33848713865312285,87.0,245.0
"Hurdle GLM (island, no log)",hurdle,glm,island,25,1.605170411478631,0.8276409779604932,14.756348399815455,2.292067307273515,-0.09967186815657463,393.8160108582354,250.11634670443405,5300.228842716798,0.006083616914842031,0.4688358640636298,0.6999650053771612,0.016289093942297828,0.8404206655329398,0.33854130061378074,83.0,244.0
"Hurdle GLM (island_basin, log(max_wind_speed) & log(sdi))",hurdle,glm,island_basin,25,1.59838124502913,0.8251527920827102,14.756876016805386,2.273948214618725,-0.10478252603659956,384.0404690340258,254.98425136396452,5299.246577035072,0.009989643929898453,0.4724511930585683,0.7012340217411579,0.0162539211086703,0.8443818413494402,0.33866388554352,61.0,200.0
"Hurdle GLM (island_basin, log(max_wind_speed))",hurdle,glm,island_basin,25,1.5970007475060464,0.8254567854359128,14.75603359893504,2.266868161030622,-0.09794077092269513,382.93789519004923,255.51797024390675,5298.740229444156,0.011070667455499707,0.47288503253796094,0.7014920613635888,0.01631007969371201,0.8448286185128143,0.33872707678089164,52.0,192.0
"Hurdle GLM (island_basin, log(sdi))",hurdle,glm,island_basin,25,1.6044683178179215,0.8278251251904346,14.755008068059043,2.2820111104462413,-0.08477317006576367,387.24754067865325,252.95223743552185,5300.368850886598,0.0093098177703695,0.46652205350686915,0.7000962392114067,0.016378445245939788,0.8430822944937333,0.3385238278546513,80.0,207.0
"Hurdle GLM (island_basin, no log)",hurdle,glm,island_basin,25,1.60305505783155,0.8280582426876353,14.754101593113925,2.2749910508300295,-0.07840276982932307,386.0695600241024,253.45682356118334,5299.7449771671145,0.010300460685553544,0.4685466377440347,0.7003604027228816,0.016438874104450107,0.8435596274707715,0.3386016861342307,76.0,204.0
"Hurdle GLM (island_year, log(max_wind_speed) & log(sdi))",hurdle,glm,island_year,25,1.5977904094387683,0.8256187764258012,14.7580895105548,2.2636733987833404,-0.11957657902302224,392.44965067805975,251.30252209656686,5304.157277194537,0.002168943937520338,0.48083875632682577,0.7013444594566238,0.016173025279743736,0.8409743323270337,0.3380510392991509,53.0,235.0
"Hurdle GLM (island_year, log(max_wind_speed))",hurdle,glm,island_year,25,1.5954847696503451,0.8260466711587526,14.756581952270816,2.2505777578023833,-0.10869927798334143,391.7799606372932,252.07971717253747,5304.401512450417,0.003998266615287554,0.48300795372378885,0.7017754246778706,0.016273524501183356,0.8412456993818466,0.33802055919357576,39.0,234.0
"Hurdle GLM (island_year, log(sdi))",hurdle,glm,island_year,25,1.6079611228265138,0.8334084808037832,14.763647058172834,2.2125858462590675,-0.057086266519511805,404.4458688988093,248.9558561054598,5333.239519111963,-0.00015879944299872795,0.4896601590744758,0.699443371625213,0.01580253929942743,0.8361133097504835,0.3344216296104787,90.0,267.0
"Hurdle GLM (island_year, no log)",hurdle,glm,island_year,25,1.6060333396040487,0.8339957827535441,14.76226837510572,2.2004126371296246,-0.05401922698202193,402.8811600297698,249.52582170020773,5330.534719972994,0.0013016003693047701,0.49197396963123646,0.6998037087113256,0.015894447238463005,0.8367473499953477,0.33475918351119793,85.0,264.0
